"","C.Block","number.races","race","percent.pop"
"458","060750330001","1","White",0.606701940035273
"459","060750330002","1","White",0.289398280802292
"460","060750330003","1","White",0.415035238841034
"461","060750330004","1","White",0.364889705882353
"462","060750330005","1","White",0.618580060422961
"463","060750330006","1","White",0.30416951469583
"464","060750331001","1","White",0.49388379204893
"465","060750331002","1","White",0.295964125560538
"466","060750331003","1","White",0.430094786729858
"467","060750331004","1","White",0.351259689922481
"468","060750332011","1","White",0.539708265802269
"469","060750332031","1","White",0.49430823117338
"470","060750332032","1","White",0.458409228901032
"471","060750332041","1","White",0.440552016985138
"472","060750332042","1","White",0.505074626865672
"473","060750332043","1","White",0.378016085790885
"474","060750351001","1","White",0.506627393225331
"475","060750351002","1","White",0.315104166666667
"476","060750351003","1","White",0.560740144810941
"477","060750351004","1","White",0.46875
"478","060750351005","1","White",0.303271441202476
"479","060750351006","1","White",0.382978723404255
"480","060750351007","1","White",0.129125651418645
"481","060750352011","1","White",0.183098591549296
"482","060750352012","1","White",0.527777777777778
"483","060750352013","1","White",0.289220917822839
"484","060750352014","1","White",0.489156626506024
"485","060750352015","1","White",0.319230769230769
"486","060750352021","1","White",0.487306501547988
"487","060750352022","1","White",0.447566826593557
"488","060750352023","1","White",0.417738659444821
"489","060750353001","1","White",0.401307189542484
"490","060750353002","1","White",0.229234088457389
"491","060750353003","1","White",0.0712530712530713
"492","060750353004","1","White",0.385237613751264
"493","060750353005","1","White",0.501165501165501
"494","060750353006","1","White",0.12848751835536
"495","060750354001","1","White",0.290839205637412
"496","060750354002","1","White",0.360628618693135
"497","060750354003","1","White",0.71500630517024
"498","060750354004","1","White",0.185707340787555
"499","060750354005","1","White",0.836619718309859
"500","060750401001","1","White",0.798630136986301
"501","060750401002","1","White",0.604990870359099
"502","060750401003","1","White",0.508543531326281
"503","060750401004","1","White",0.788978494623656
"504","060750402001","1","White",0.563275434243176
"505","060750402002","1","White",0.408942202835333
"506","060750402003","1","White",0.492864983534577
"507","060750402004","1","White",0.514641744548287
"508","060750426011","1","White",0.386819484240688
"509","060750426012","1","White",0.513634110064452
"510","060750426021","1","White",0.462274176408076
"511","060750426022","1","White",0.527114967462039
"512","060750426023","1","White",0.678417884780739
"513","060750427001","1","White",0.615880893300248
"514","060750427002","1","White",0.473653395784543
"515","060750427003","1","White",0.390406800242866
"516","060750428001","1","White",0.568532818532819
"517","060750428002","1","White",0.875370919881306
"518","060750428003","1","White",0.829984544049459
"519","060750451001","1","White",0.472796288485871
"520","060750451002","1","White",0.673776662484316
"521","060750451003","1","White",0.385110294117647
"522","060750452001","1","White",0.50503524672709
"523","060750452002","1","White",0.400401069518717
"524","060750452003","1","White",0.530583214793741
"525","060750452004","1","White",0.542553191489362
"526","060750452005","1","White",0.68099395567495
"527","060750476001","1","White",0.411562678878077
"528","060750476002","1","White",0.320337197049526
"529","060750476003","1","White",0.566536203522505
"530","060750476004","1","White",0.376873661670236
"531","060750477011","1","White",0.523936170212766
"532","060750477012","1","White",0.374249499666444
"533","060750477013","1","White",0.322534197264219
"534","060750477021","1","White",0.330287206266319
"535","060750477022","1","White",0.450286806883365
"536","060750477023","1","White",0.455264759586123
"537","060750478011","1","White",0.280054644808743
"538","060750478012","1","White",0.446837146702557
"539","060750478013","1","White",0.363991081382386
"540","060750478021","1","White",0.47609756097561
"541","060750478022","1","White",0.31095406360424
"542","060750478023","1","White",0.272423398328691
"543","060750479011","1","White",0.276923076923077
"544","060750479012","1","White",0.759475218658892
"545","060750479013","1","White",0.600796812749004
"546","060750479014","1","White",0.250299401197605
"547","060750479015","1","White",0.667079207920792
"548","060750479021","1","White",0.493647912885662
"549","060750479022","1","White",0.510028653295129
"550","060750479023","1","White",0.500426985482494
"551","060750601001","1","White",0.835989568241089
"552","060750604001","1","White",0.604638619201726
"553","060750605021","1","White",0.101497504159734
"554","060750605022","1","White",0.255255255255255
"555","060750605023","1","White",0.155934343434343
"556","060750607001","1","White",0.387542048486255
"557","060750607002","1","White",0.240131578947368
"558","060750607003","1","White",0.688282138794084
